Main Heading,Detail,Date,Artical_Link,Source,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5
Colombia and ELN rebel group sign ceasefire agreement,The agreement is a significant success for President Gustavo Petro’s agenda of ‘total peace’ after previous setbacks.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/colombia-and-eln-rebel-group-sign-ceasefire-agreement,Source: Al Jazeera and news agencies,News,Conflict,,,
‘No one is above the law’: Reactions to Trump indictment,Democrats welcome charges as US prosecutors unseal indictment over Donald Trump’s handling of classified files.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/no-one-is-above-the-law-reactions-to-trump-indictment,Source: Al Jazeera and news agencies,News,Donald Trump,,,
‘Enough is enough’: A UK union rep fighting from the picket line,"For Mark Dollar, a family man and Dungeons & Dragons enthusiast, strike action against National Highways is not about the last 12 months, but the last 12 years.",09-Jun-23,https://www.aljazeera.com/features/2023/6/9/enough-is-enough-a-uk-union-rep-fighting-from-the-picket-line,Source: Al Jazeera,Features,Workers' Rights,,,
‘Poor people don’t have friends’: A Pakistani widow’s life,"Zubeida lives in a village, works for families who live abroad and cleans their vacant homes, where birds come to nest.",08-Jun-23,https://www.aljazeera.com/features/2023/6/8/poor-people-dont-have-friends-a-pakistani-widows-life,Source: Al Jazeera,Features,Women,,,
‘Poor people don’t have friends’: A Pakistani widow’s life,"Zubeida lives in a village, works for families who live abroad and cleans their vacant homes, where birds come to nest.",08-Jun-23,https://www.aljazeera.com/features/2023/6/8/poor-people-dont-have-friends-a-pakistani-widows-life,Source: Al Jazeera,Features,Women,,,
Old is gold: Can ageing spark a surprise economic boom?,"Health, tech and saved wealth could turn an ageing workforce from an economic challenge into an advantage, say experts.",06-Jun-23,https://www.aljazeera.com/features/2023/6/6/old-but-gold-can-ageing-propel-a-surprise-economic-boom,Source: Al Jazeera,Features,Business and Economy,,,
Old is gold: Can ageing spark a surprise economic boom?,"Health, tech and saved wealth could turn an ageing workforce from an economic challenge into an advantage, say experts.",06-Jun-23,https://www.aljazeera.com/features/2023/6/6/old-but-gold-can-ageing-propel-a-surprise-economic-boom,Source: Al Jazeera,Features,Business and Economy,,,
The activists confronting period taboos in Pakistan,"Facing threats and alienation, women push for menstrual awareness in a country where women’s health taboos limit rights.",28-May-23,https://www.aljazeera.com/features/2023/5/28/the-activists-confronting-period-taboos-in-pakistan,Source: Al Jazeera,Features,Women,,,
The activists confronting period taboos in Pakistan,"Facing threats and alienation, women push for menstrual awareness in a country where women’s health taboos limit rights.",28-May-23,https://www.aljazeera.com/features/2023/5/28/the-activists-confronting-period-taboos-in-pakistan,Source: Al Jazeera,Features,Women,,,
Could AI carry out coups next unless stopped now?,Experts fear the misuse of AI to destabilise economies and governments. Industry can’t be trusted to regulate itself.,30-May-23,https://www.aljazeera.com/features/2023/5/30/should-ai-be-stopped-before-it-is-too-late,Source: Al Jazeera,Features,Technology,,,
Could AI carry out coups next unless stopped now?,Experts fear the misuse of AI to destabilise economies and governments. Industry can’t be trusted to regulate itself.,30-May-23,https://www.aljazeera.com/features/2023/5/30/should-ai-be-stopped-before-it-is-too-late,Source: Al Jazeera,Features,Technology,,,
Lionel Messi’s move to Inter Miami sparks huge fan reaction,Inter’s Instagram account quintupled and ticket sales rose fourfold since the World Cup champion revealed he will join the Major League Soccer club.,09-Jun-23,https://www.aljazeera.com/sports/2023/6/9/lionel-messis-move-to-inter-miami-sparks-huge-fan-reaction,Source: Al Jazeera and news agencies,Sports,Football,,,
Lionel Messi’s move to Inter Miami sparks huge fan reaction,Inter’s Instagram account quintupled and ticket sales rose fourfold since the World Cup champion revealed he will join the Major League Soccer club.,09-Jun-23,https://www.aljazeera.com/sports/2023/6/9/lionel-messis-move-to-inter-miami-sparks-huge-fan-reaction,Source: Al Jazeera and news agencies,Sports,Football,,,
Why has Saudi sovereign fund taken over kingdom’s football clubs?,"As more international players join Saudi league, country announces launch of investment and privatisation project in a bid to grow the sport.",08-Jun-23,https://www.aljazeera.com/sports/2023/6/8/why-has-saudi-sovereign-wealth-fund-taken-over-football-clubs,Source: Al Jazeera,Sports,Football,,,
Why has Saudi sovereign fund taken over kingdom’s football clubs?,"As more international players join Saudi league, country announces launch of investment and privatisation project in a bid to grow the sport.",08-Jun-23,https://www.aljazeera.com/sports/2023/6/8/why-has-saudi-sovereign-wealth-fund-taken-over-football-clubs,Source: Al Jazeera,Sports,Football,,,
The ‘complex’ legacy of US professional wrestling’s Iron Sheik,"Hossein Khosrow Ali Vaziri, who died on Wednesday, both perpetuated and transcended stereotypes in his role as wrestler.",07-Jun-23,https://www.aljazeera.com/news/2023/6/7/the-complex-legacy-of-us-professional-wrestlings-iron-sheik,Source: Al Jazeera,News,Obituaries,,,
The ‘complex’ legacy of US professional wrestling’s Iron Sheik,"Hossein Khosrow Ali Vaziri, who died on Wednesday, both perpetuated and transcended stereotypes in his role as wrestler.",07-Jun-23,https://www.aljazeera.com/news/2023/6/7/the-complex-legacy-of-us-professional-wrestlings-iron-sheik,Source: Al Jazeera,News,Obituaries,,,
What does the shock PGA Tour-LIV merger mean for golf?,"What does the deal with Saudi Arabia involve, what has the reaction been, and what uncertainties remain around the controversial deal?",07-Jun-23,https://www.aljazeera.com/sports/2023/6/7/what-does-shock-pga-saudi-backed-liv-merger-mean-for-golf,Source: Al Jazeera and news agencies,Sports,Golf,,,
What does the shock PGA Tour-LIV merger mean for golf?,"What does the deal with Saudi Arabia involve, what has the reaction been, and what uncertainties remain around the controversial deal?",07-Jun-23,https://www.aljazeera.com/sports/2023/6/7/what-does-shock-pga-saudi-backed-liv-merger-mean-for-golf,Source: Al Jazeera and news agencies,Sports,Golf,,,
Almost Zlatan: Ibrahimovic’s ex-teammate on a sliding doors story,Zlatan Ibrahimovic has hung up his football boots at the age of 41. But Sweden’s greatest-ever footballer could have been overshadowed if it wasn’t for one moment in 1999 when his neighbour and friend took a fateful penalty for their hometown club.,05-Jun-23,https://www.aljazeera.com/sports/2023/6/5/zlatan-ibrahimovic-retires-football-tony-flygare-sweden,Source: Al Jazeera,Sports,Football,,,
Almost Zlatan: Ibrahimovic’s ex-teammate on a sliding doors story,Zlatan Ibrahimovic has hung up his football boots at the age of 41. But Sweden’s greatest-ever footballer could have been overshadowed if it wasn’t for one moment in 1999 when his neighbour and friend took a fateful penalty for their hometown club.,05-Jun-23,https://www.aljazeera.com/sports/2023/6/5/zlatan-ibrahimovic-retires-football-tony-flygare-sweden,Source: Al Jazeera,Sports,Football,,,
UK ex-Prime Minister Boris Johnson resigns as MP,Former PM accuses a parliamentary probe into the COVID-19 ‘Partygate’ scandal of driving him out.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/uk-ex-prime-minister-boris-johnson-resigns-as-mp,Source: News Agencies,News,Boris Johnson,,,
Pakistan lays out budget but may not satisfy IMF,"The ‘plain-vanilla’ budget is unlikely to satisfy IMF, which could lead to the South Asian nation defaulting on debt.",09-Jun-23,https://www.aljazeera.com/economy/2023/6/9/pakistan-lays-out-budget-but-may-not-satisfy-imf,Source: Al Jazeera and news agencies,Economy,Business and Economy,,,
Canadian appointee investigating China election claims steps down,Former Governor General David Johnston says the atmosphere has become too partisan to continue his work.,10-Jun-23,https://www.aljazeera.com/news/2023/6/10/canadian-appointee-investigating-china-election-claims-steps-down,Source: The Associated Press,News,Investigation,,,
"Q&A: RSF adviser on Sudan ceasefire, Wagner and civilian killings",Ibrahim Mukhayer speaks to Al Jazeera about the allegations against the paramilitary group and what would it take for the war to end.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/qa-rsf-adviser-on-sudan-ceasefire-wagner-and-civilian-killings,Source: Al Jazeera,News,Humanitarian Crises,,,
Serbians join anti-government protest following mass shootings,"Tens of thousands demonstrate in Belgrade, calling on interior minister to resign following deadly mass shootings.",09-Jun-23,https://www.aljazeera.com/news/2023/6/9/serbians-join-anti-government-protest-following-mass-shootings,Source: News Agencies,News,Protests,,,
South Korea summons China envoy over US ties remarks,China’s ambassador accused Seoul of tilting excessively towards the US in a meeting with S Korea’s opposition leader.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/south-korea-summons-china-envoy-over-us-ties-remarks,Source: News Agencies,News,,,,
Disney bets on free mobile cricket streaming in India,"The strategy shift from Disney, which some analysts say is ‘desperate’, comes as rivalry with JioCinema heats up.",09-Jun-23,https://www.aljazeera.com/economy/2023/6/9/disney-bets-on-free-mobile-cricket-streaming-in-india,Source: Reuters,Economy,Business and Economy,,,
"Several wounded in al-Shabab attack on Mogadishu hotel, Somalia",Several were injured in the attack on Friday evening around one of the capital’s most popular areas.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/somalias-al-shabaab-attack-hotel-in-mogadishu,Source: News Agencies,News,Al-Shabab,,,
Newcastle announces shirt sponsorship deal with Saudi company,British media reports the deal is worth 25 million pounds ($31.5m) annually.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/newcastle-announce-shirt-sponsorship-deal-with-saudi-company,Source: Al Jazeera and news agencies,News,,,,
Drone crashes into building in Russia’s Voronezh city; 3 injured,Russia reports a drone attack in its southwestern city which partially borders Ukraine.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/drone-crashes-into-building-in-russias-voronezh-city-3-injured,Source: Al Jazeera and news agencies,News,Russia-Ukraine war,,,
"One UN peacekeeper dead, four others injured in north Mali attack",More than 300 of the peacekeepers in MINUSMA have also been killed since the start of the Mali mission in 2013.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/one-un-peacekeeper-killed-and-four-injured-in-north-mali-attack,Source: Al Jazeera and news agencies,News,United Nations,,,
Sudan declares UN envoy Volker Perthes ‘persona non grata’,Declaration comes two weeks after army chief called for diplomat’s removal. UN chief Antonio Guterres said at the time that he was ‘shocked’ by request.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/sudan-declares-un-envoy-volker-perthes-persona-non-grata,Source: Al Jazeera and news agencies,News,United Nations,,,
Blinken to take delayed China trip this month: Reports,"US secretary of state is expected to meet top Chinese officials, US media outlets say, on visit delayed since February.",09-Jun-23,https://www.aljazeera.com/news/2023/6/9/blinken-to-take-delayed-china-trip-this-month-reports,Source: Al Jazeera and news agencies,News,Conflict,,,
What started Canada’s wildfires and are they under control?,"Canada is currently battling its most devastating wildfire season on record, with ripple effects reaching as far as Norway.",09-Jun-23,https://www.aljazeera.com/news/2023/6/9/what-started-canadas-wildfires-and-are-they-under-control,Source: Al Jazeera and news agencies,News,Environment,,,
Djokovic beats cramping Alcaraz to reach French Open final,World number one Carlos Alcaraz had just levelled the contest with Novak Djokovic when disaster struck as he limped to his bench holding his right leg at 1-1 in the third set.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/djokovic-beats-cramping-alcaraz-to-reach-french-open-final,Source: Al Jazeera and news agencies,News,,,,
‘Europeans are almost not coming to the UK any more’,Al Jazeera interviews social scientist Nando Sigona on migration trends.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/europeans-are-almost-not-coming-to-the-uk-any-more,Source: Al Jazeera,News,Migration,,,
Sweden charges man suspected of financing outlawed Kurdish group,A Turkish citizen is charged in Sweden for gun crimes and raising money for the Kurdistan Workers’ Party (PKK).,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/sweden-charges-man-suspected-of-financing-outlawed-kurdish-group,Source: Reuters,News,PKK,,,
Rwandan genocide suspect faces more charges in South Africa,"The suspect now faces 54 separate charges in South Africa relating to fraud and immigration offences, up from five previously.",09-Jun-23,https://www.aljazeera.com/news/2023/6/9/rwandan-genocide-suspect-faces-more-charges-in-south-africa,Source: News Agencies,News,Genocide,,,
US bans imports from China-based Ninestar Corp over Uighurs,"More than a million people, mainly Uighurs and Muslim minorities, are detained in camps in China’s western Xinjiang region, experts have said.",09-Jun-23,https://www.aljazeera.com/economy/2023/6/9/us-bans-imports-from-china-based-ninestar-corp-over-uighurs,Source: Reuters,Economy,Uighur,,,
Palestinian President Abbas to visit China after mediation offer,"Abbas will pay a state visit to China following’s XI’s pledge to ‘work for an early, just and durable solution to the Palestinian issue’.",09-Jun-23,https://www.aljazeera.com/news/2023/6/9/palestinian-president-abbas-to-visit-china-after-mediation-offer,Source: Al Jazeera and news agencies,News,Israel-Palestine conflict,,,
Ex-US bank executive Hafize Erkan named Turkey central bank boss,Appointment seen as another indication that Erdogan may abandon policies that are widely branded as ‘unorthodox’.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/ex-us-bank-executive-hafize-erkan-named-turkey-central-bank-boss,Source: News Agencies,News,Recep Tayyip Erdogan,,,
Fighting in South Sudan camp leaves 13 displaced people dead: UN,"In recent months, South Sudan’s Upper Nile State has been an epicentre of violence mainly orchestrated by armed militias.",09-Jun-23,https://www.aljazeera.com/news/2023/6/9/fighting-in-south-sudan-camp-leaves-13-displaced-people-dead-un,Source: News Agencies,News,Armed Groups,,,
Mediators announce 24-hour Sudan ceasefire from early Saturday,Announcement by Saudi Arabia and the United States says the ceasefire will begin at 6am local time (04:00 GMT).,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/saudi-arabia-us-announce-24-hour-sudan-ceasefire-from-saturday,Source: Al Jazeera and news agencies,News,,,,
Crisis-hit Pakistan set to present budget as IMF watches,Pakistan hopes the budget will help unlock more than $2.5bn left in a $6.5bn IMF bailout programme expiring this month.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/crisis-hit-pakistan-set-to-present-budget-as-imf-watches,Source: Al Jazeera,News,Business and Economy,,,
Malaysia will ‘not survive’ if it does not change: Anwar Ibrahim,"After just over six months in power, Malaysian prime minister tells Al Jazeera he is committed to reform, and fighting corruption.",09-Jun-23,https://www.aljazeera.com/news/2023/6/9/malaysia-will-not-survive-if-it-does-not-change-anwar-ibrahim,Source: Al Jazeera,News,Politics,,,
Ukraine counteroffensive against Russia under way: think tank,"Washington, DC-based Institute for the Study of War says Ukraine counteroffensive unlikely to unfold as ‘single grand operation’.",09-Jun-23,https://www.aljazeera.com/news/2023/6/9/ukraine-counteroffensive-against-russia-under-way-think-tank,Source: Al Jazeera and news agencies,News,Russia-Ukraine war,,,
France’s Macron visits victims of Alps knife attack in hospital,President visits seriously wounded children as investigators seek to unravel Syrian suspect’s motive.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/frances-macron-visits-victims-of-alps-knife-attack-in-hospital,Source: Al Jazeera and news agencies,News,Crime,,,
"In Russia-occupied Kherson, flood aid slow to come: Residents",Those in occupied areas are reportedly trapped in floodwaters as Ukrainians in Kyiv-controlled Kherson receive help.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/568,Source: AP,News,Russia-Ukraine war,,,
"Like US, UN suspends Ethiopia food aid over diversion of supplies",The UN agency’s suspension of food aid to Ethiopia comes a day after USAID took similar action.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/like-us-un-suspends-ethiopia-food-aid-over-diversion-of-supplies,Source: News Agencies,News,,,,
Rohingya in Bangladesh protest to be sent home after UN aid cut,Tens of thousands of refugees demonstrate in Bangladesh camps to push for repatriation to Myanmar after food ration is slashed.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/rohingya-in-bangladesh-protest-to-be-sent-home-after-un-aid-cut,Source: News Agencies,News,Rohingya,,,
EU members sign deal to overhaul asylum procedures,The accord will change how asylum seekers are processed at the bloc’s borders and how they are relocated across Europe.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/eu-members-sign-deal-to-overhaul-migration-procedures,Source: Al Jazeera and news agencies,News,Migration,,,
Lionel Messi’s move to Inter Miami sparks huge fan reaction,Inter’s Instagram account quintupled and ticket sales rose fourfold since the World Cup champion revealed he will join the Major League Soccer club.,09-Jun-23,https://www.aljazeera.com/sports/2023/6/9/lionel-messis-move-to-inter-miami-sparks-huge-fan-reaction,Source: Al Jazeera and news agencies,Sports,Football,,,
Thailand’s cannabis lovers face comedown amid legalisation U-turn,Southeast Asian country’s booming cannabis industry is under a cloud as politicians reconsider decriminalisation.,09-Jun-23,https://www.aljazeera.com/economy/2023/6/9/thailands-cannabis-lovers-face-comedown-amid-legalisation-u-turn,Source: Al Jazeera,Economy,Drugs,,,
Record Mount Everest season in Nepal also one of its deadliest,Climbers say several of the 17 people killed or missing and presumed dead this season could have avoided the disaster.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/record-mount-everest-season-in-nepal-also-one-of-its-deadliest,Source: AFP,News,Mount Everest,,,
Trump says he faces indictment in classified document case,The former US president has asserted on his Truth Social platform that he is being summoned to appear in federal court.,08-Jun-23,https://www.aljazeera.com/news/2023/6/8/trump-claims-he-faces-indictment-in-classified-document-case,Source: Al Jazeera and news agencies,News,Donald Trump,,,
"El Nino under way, raising fears of extreme weather patterns","US climate agency says phenomenon, which leads to warmer temperatures, is back after three years.",08-Jun-23,https://www.aljazeera.com/news/2023/6/8/el-nino-under-way-raising-fears-of-extreme-weather-patterns,Source: Al Jazeera and news agencies,News,Climate Crisis,,,
Millions under hazy skies as Canadian wildfire smoke spreads,US pledges to send more help to Canada as wildfires prompt air quality warnings across large section of North America.,08-Jun-23,https://www.aljazeera.com/news/2023/6/8/millions-under-hazy-skies-as-canadian-wildfire-smoke-spreads,Source: Al Jazeera and news agencies,News,Environment,,,
Hong Kong refuses to clarify law as uncertainty dims business hub,"Officials are refusing to clarify what activities are legal, reflecting era of uncertainty under national security law.",09-Jun-23,https://www.aljazeera.com/economy/2023/6/9/hong-kong-touted-rule-of-law-now-it-wont-say-what-the-law-is,Source: Al Jazeera,Economy,Human Rights,,,
World Ocean Day: How much plastic is in our oceans?,"According to UNESCO, 8-10 million tonnes of plastic are released into the sea every year. On World Ocean Day, Al Jazeera visualises what that looks like.",08-Jun-23,https://www.aljazeera.com/news/2023/6/8/how-much-plastic-is-in-our-oceans-infographic,Source: Al Jazeera,News,Environment,,,
Crypto giant Binance’s US arm suspends dollar deposits,Move comes days after US regulators announced 13 civil charges against Binance and its CEO Changpeng Zhao.,09-Jun-23,https://www.aljazeera.com/economy/2023/6/9/crypto-giant-binances-us-arm-suspends-dollar-deposits,Source: Reuters,Economy,Crypto,,,
Russian man killed in shark attack off Egypt’s Red Sea resort,"Coastline to remain off limits with a ban on swimming, snorkelling and other water sports activities until Sunday.",08-Jun-23,https://www.aljazeera.com/news/2023/6/8/russian-man-killed-in-shark-attack-off-egypts-red-sea-resort,Source: News Agencies,News,,,,
Donald Trump’s indictment: What you need to know,"Trump indictment remains sealed, but he is believed to be charged in relation to mishandling of classified documents.",09-Jun-23,https://www.aljazeera.com/news/2023/6/9/donald-trumps-indictment-what-you-need-to-know,Source: The Associated Press,News,Donald Trump,,,
"Russia-Ukraine war: List of key events, day 471","As the war enters it 471st day, these are the main developments.",09-Jun-23,https://www.aljazeera.com/news/2023/6/9/russia-ukraine-war-list-of-key-events-day-471,Source: Al Jazeera and news agencies,News,Russia-Ukraine war,,,
A secret Chinese spy base? Cuban officials say no to media report,US and Cuban officials dismissed a Wall Street Journal report about a surveillance base to be built in the Caribbean.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/a-secret-chinese-spy-base-cuban-officials-say-no-to-media-report,Source: Al Jazeera and news agencies,News,Politics,,,
Putin claims Russian forces halting Ukrainian counteroffensive,"Claims by pro-Moscow commentators that Ukraine’s counteroffensive has failed are premature, says war monitor think tank.",10-Jun-23,https://www.aljazeera.com/news/2023/6/10/putin-claims-russian-forces-thwarting-ukrainian-counteroffensive,Source: Al Jazeera and news agencies,News,Russia-Ukraine war,,,
Four children found in Colombian jungle 40 days after plane crash,"Colombia’s military found the four children aged 13, 9 , 4, and 12-month-old, who survived a plane crash on May 1.",10-Jun-23,https://www.aljazeera.com/news/2023/6/10/four-children-found-in-colombian-jungle-40-days-after-plane-crash,"Source: Al Jazeera, Reuters",News,,,,
"Russia-Ukraine war: List of key events, day 472","As the war enters its 472nd day, these are the main developments.",10-Jun-23,https://www.aljazeera.com/news/2023/6/10/russia-ukraine-war-list-of-key-events-day-472,Source: Al Jazeera and news agencies,News,Weapons,,,
India train disaster: What we know so far,The failure of a sophisticated electronic system designed to keep trains from colliding has been blamed for the crash.,04-Jun-23,https://www.aljazeera.com/news/2023/6/4/india-train-disaster-what-we-know-so-far,Source: Al Jazeera and news agencies,News,,,,
Trump indictment details plot to hide sensitive documents,Trump has been charged with 37 felony counts for keeping and hiding documents with sensitive national security content.,10-Jun-23,https://www.aljazeera.com/news/2023/6/10/trump-indictment-details-plot-to-hide-sensitive-documents,Source: Al Jazeera,News,Donald Trump,,,
Thailand’s cannabis lovers face comedown amid legalisation U-turn,Southeast Asian country’s booming cannabis industry is under a cloud as politicians reconsider decriminalisation.,09-Jun-23,https://www.aljazeera.com/economy/2023/6/9/thailands-cannabis-lovers-face-comedown-amid-legalisation-u-turn,Source: Al Jazeera,Economy,Drugs,,,
US says Iran is helping Russia build drone manufacturing facility,US intelligence officials say Iran and Russia continue to strengthen their military cooperation and weapons assistance.,09-Jun-23,https://www.aljazeera.com/news/2023/6/9/us-says-iran-is-helping-russia-build-drone-manufacturing-facility,Source: Al Jazeera and news agencies,News,Russia-Ukraine war,,,
‘Poor people don’t have friends’: A Pakistani widow’s life,"Zubeida lives in a village, works for families who live abroad and cleans their vacant homes, where birds come to nest.",08-Jun-23,https://www.aljazeera.com/features/2023/6/8/poor-people-dont-have-friends-a-pakistani-widows-life,Source: Al Jazeera,Features,Women,,,
